last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Helsley, Ryan,R,80.2,,36.3,96.5,,,62.6
López, Pablo,R,79.9,83.4,57.1,89.9,,,68.5
Kelly, Merrill,R,79.7,76.2,65.1,78.2,,,68.1
Guduan, Reymin,L,79.7,,,,,30.4,
Poteet, Cody,R,79.6,,,82.4,,30.6,62.9
Duffey, Tyler,R,79.6,83.4,,,,,59
Miller, Andrew,L,79.4,81.8,,,,66,
Biddle, Jesse,L,79.3,79,,,,53,86.9
Fried, Max,L,78.9,75.8,,88,,32.7,83.3
Barlow, Scott,R,78.7,,,,,43.3,82.7
Yajure, Miguel,R,78.6,,41.5,77.7,,53.1,
Lakins Sr., Travis,R,78.5,80,53,89.9,,,76.7
Webb, Logan,R,78.4,79.6,46,79.6,,55.4,
Flaherty, Jack,R,78.4,74.1,,73.9,,51.1,86.2
Strickland, Hunter,R,78.2,,,86.5,,40.4,
Crick, Kyle,R,78.1,,,,,83.7,
Wainwright, Adam,R,77.7,81.3,48.5,88.4,,,97.7
Scott, Tanner,L,77.6,82,,,,27.4,
Greinke, Zack,R,77.6,84.1,,83,,42.6,76.3
Lynn, Lance,R,77.5,72.3,31.7,85.8,,,52.2
Raley, Brooks,L,77.2,80.8,42.7,84.7,,49.3,67.9
Pressly, Ryan,R,77.2,,,,,29.5,74.8
Lester, Jon,L,77.1,74.3,57.4,71.8,,,66.1
Fairbanks, Pete,R,76.8,,,,,44.1,
Gray, Sonny,R,76.5,71,,84.5,,64.9,88.1
Thompson, Zach,R,76.4,75,31.9,77,,,71.5
Freeland, Kyle,L,76.4,69.8,,91.2,,25.5,66.7
Sheffield, Justus,L,76.1,81.9,,72.2,,43.6,
Castano, Daniel,L,75.9,67.9,,78.3,,25.3,
Castellanos, Humberto,R,75.8,76.9,,95.4,,,67.9
Glasnow, Tyler,R,75.8,,,90.3,,32,76.1
Bard, Daniel,R,75.6,80.1,,93.8,,47.4,
Keuchel, Dallas,L,75.5,80.3,41.4,89.2,,32.1,
Singer, Brady,R,75.4,83.2,,96.4,,26.8,
Armstrong, Shawn,R,75.1,,44.4,,,54,
Anderson, Shaun,R,75,,,,,36.3,
Manoah, Alek,R,74.9,73.7,,78.2,,48,
Taylor, Blake,L,74.6,,,,,45.6,
Kluber, Corey,R,74.6,79.5,35.7,75,,,54.8
Nelson, Jimmy,R,74.3,,,,,51.7,83
Wendelken, J.B.,R,74.3,81,,99.2,,38,
Selman, Sam,L,73.4,,,,,46,
Oviedo, Johan,R,72.7,,,92.9,,46.9,70.8
Hernandez, Darwinzon,L,72.5,,,,,35.8,80.6
Minor, Mike,L,72.4,,,97.1,,26.5,77.1
Givens, Mychal,R,72.3,,,49.4,,32.6,
Williams, Trevor,R,72.1,72.9,,91.1,,41.1,58.2
Mejia, J.C.,R,72,69.7,,67.4,,40.7,82.3
Cishek, Steve,R,71.9,78.2,,,,82.2,
Ramirez, Noé,R,71.8,,,72.9,,,59.7
Bender, Anthony,R,71.4,74.7,,,,59.8,
Ottavino, Adam,R,71.3,75.3,31.3,,,71.8,80.1
Cimber, Adam,R,70.7,75.5,,,,19.2,
Stratton, Chris,R,70.6,,,72.5,,37.2,73.7
González, Chi Chi,R,70.5,68.9,30.5,87.3,,28.7,39.9
Keller, Brad,R,70.5,76.9,,83.9,,40.2,
Wright, Kyle,R,70,74.5,,88.6,,31,75.3
Paredes, Enoli,R,69.9,,,,,53,
Fedde, Erick,R,68.7,79.7,52,89.9,,,57.4
Fry, Paul,L,68.3,,,,,56.7,
García, Yimi,R,68.3,,,93.7,,31.2,46.6
O'Day, Darren,R,68.2,,,,,28.7,
Steele, Justin,L,68,70.5,,,,61.5,83.9
Burnes, Corbin,R,67.8,71.7,54.1,75.4,,41.4,65.1
Musgrove, Joe,R,66.4,63.8,36.9,62.4,,55.6,76.1
Doval, Camilo,R,66.3,,,,,40.8,
Junis, Jakob,R,66.1,79,36,82,,,
Edwards Jr., Carl,R,66,,,,,,81.5
Suter, Brent,L,65.6,84,,97,,,46
Valdez, Framber,L,65.1,69.5,,74.6,,,83.5
Clase, Emmanuel,R,64.2,,56.5,,,37.4,
Maton, Phil,R,63.4,,36.6,,,69.2,90.1
Adams, Austin,R,62.4,,,,,36.9,
Melancon, Mark,R,61.9,,59,,,,79
Stroman, Marcus,R,61.7,58,30.7,,,48.9,66.5
Houck, Tanner,R,60.3,65.1,,,,64.6,
Kittredge, Andrew,R,59.7,78,,,,32.5,
Turnbull, Spencer,R,59.5,78.1,53.1,93.5,,34.7,80.6
Castro, Anthony,R,58,,,,,60,
Maples, Dillon,R,55.4,59.3,,,,54.8,81
Richards, Garrett,R,49,,,84,,28.3,92.8
